source,model_id,image_id,click_id,strategy,click_number,iou
user,GPCIS_Resnet50,image_001,image_001_click_01,,1,0.8548213818763803
user,GPCIS_Resnet50,image_001,image_001_click_02,,1,0.8596985959810703
user,GPCIS_Resnet50,image_001,image_001_click_03,,1,0.8543729996723873
user,GPCIS_Resnet50,image_001,image_001_click_04,,1,0.8584653505820499
user,GPCIS_Resnet50,image_001,image_001_click_05,,1,0.8583434506098674
user,GPCIS_Resnet50,image_001,image_001_click_06,,1,0.8533337112337188
user,GPCIS_Resnet50,image_001,image_001_click_07,,1,0.8573420235214144
user,GPCIS_Resnet50,image_001,image_001_click_08,,1,0.856418349571753
user,GPCIS_Resnet50,image_001,image_001_click_09,,1,0.8588753302302177
user,GPCIS_Resnet50,image_001,image_001_click_10,,1,0.8586133131999497
user,GPCIS_Resnet50,image_001,image_001_click_11,,1,0.8585166433434488
user,GPCIS_Resnet50,image_001,image_001_click_12,,1,0.8535442886553802
user,GPCIS_Resnet50,image_001,image_001_click_13,,1,0.8513123210614603
user,GPCIS_Resnet50,image_001,image_001_click_14,,1,0.8559481338971683
user,GPCIS_Resnet50,image_001,image_001_click_15,,1,0.85621370645958
user,GPCIS_Resnet50,image_002,image_002_click_01,,1,0.7699403566241231
user,GPCIS_Resnet50,image_002,image_002_click_02,,1,0.7714183409833839
user,GPCIS_Resnet50,image_002,image_002_click_03,,1,0.7702267667392336
user,GPCIS_Resnet50,image_002,image_002_click_04,,1,0.7711152683307188
user,GPCIS_Resnet50,image_002,image_002_click_05,,1,0.7705875810248837
user,GPCIS_Resnet50,image_002,image_002_click_06,,1,0.7713943746259725
user,GPCIS_Resnet50,image_002,image_002_click_07,,1,0.770229035924297
user,GPCIS_Resnet50,image_002,image_002_click_08,,1,0.7702078486261351
user,GPCIS_Resnet50,image_002,image_002_click_09,,1,0.7696725415891346
user,GPCIS_Resnet50,image_002,image_002_click_10,,1,0.7712150687046472
user,GPCIS_Resnet50,image_002,image_002_click_11,,1,0.7667797491549767
user,GPCIS_Resnet50,image_002,image_002_click_12,,1,0.7688579152824434
user,GPCIS_Resnet50,image_002,image_002_click_13,,1,0.7702267667392336
user,GPCIS_Resnet50,image_002,image_002_click_14,,1,0.7707895628600474
user,GPCIS_Resnet50,image_002,image_002_click_15,,1,0.7702916935780441
user,GPCIS_Resnet50,image_003,image_003_click_01,,1,0.725212962446622
user,GPCIS_Resnet50,image_003,image_003_click_02,,1,0.8759348145795186
